Conference,Acronym,Year,Topic,Papers(5Y),Citations(5Y),h5
European Conference on Advances in Information Retrieval,ECIR,2025,General,,,47.0 (2025) [GS]
European Conference on Mobile Robots,ECMR,2025,General,,,14.0 (2025) [GS]
European Conference on Modelling and Simulation (ECMS),ECMS,2025,General,,,12.0 (2025) [GS]
European Conference on Object-oriented Programming (ECOOP),ECOOP,2025,General,,,21.0 (2025) [GS]
Euromicro Conference on Real-Time Systems,ECRTS,2025,General,,,20.0 (2025) [GS]
European Conference on Software Architecture,ECSA,2025,General,,,21.0 (2025) [GS]
European Conference on Computer-Supported Cooperative Work,ECSCW,2025,General,,,12.0 (2025) [GS]
International Conference on Extending Database Technology (EDBT),EDBT,2025,General,,,29.0 (2025) [GS]
European Dependable Computing Conference,EDCC,2025,General,,,16.0 (2025) [GS]
International Conference on Educational Data Mining (EDM),EDM,2025,General,,,31.0 (2025) [GS]
"International IEEE Enterprise Distributed Object Computing Conference, EDOC",EDOC,2025,General,,,19.0 (2025) [GS]
Simpósio Brasileiro de Educação em Computação (EDUCOMP),EDUCOMP,2025,General,,,11.0 (2025) [GS]
International Conference on Electronic Government,EGOV,2025,General,,,17.0 (2025) [GS]
ACM SIGCHI Symposium on Engineering Interactive Computing Systems,EICS,2025,General,,,10.0 (2025) [GS]
IEEE International Conference on Electro/Information Technology,EIT,2025,General,,,27.0 (2025) [GS]
IEEE EMBS International Conference on Biomedical and Health Informatics,EMBS,2025,General,,,17.0 (2025) [GS]
Conference on Empirical Methods in Natural Language Processing (EMNLP),EMNLP,2025,General,,,218.0 (2025) [GS]
Encontro Nacional de Inteligência Artificial e Computacional,ENIAC,2025,General,,,9.0 (2025) [GS]
Portuguese Conference on Artificial Intelligence (EPIA),EPIA,2025,General,,,11.0 (2025) [GS]
International Conference on Conceptual Modeling,ER,2025,General,,,24.0 (2025) [GS]
European Symposium on Algorithms,ESA,2025,General,,,22.0 (2025) [GS]
European Symposium on Programming (ESOP),ESOP,2025,General,,,24.0 (2025) [GS]
European Solid State Circuits Conference (ESSCIRC),ESSCIRC,2025,General,,,19.0 (2025) [GS]
"European Solid State Device Research Conference, ESSDERC",ESSDERC,2025,General,,,13.0 (2025) [GS]
Extended Semantic Web Conference,ESWC,2025,General,,,31.0 (2025) [GS]
Encontro de Teoria da Computação (ETC),ETC,2025,General,,,2.0 (2025) [GS]
IEEE European Test Symposium (ETS),ETS,2025,General,,,16.0 (2025) [GS]
European Conference on Networks and Communications,EuCNC,2025,General,,,26.0 (2025) [GS]
"European Conference on Combinatorics, Graph Theory and Applications",EUROCOMB,2025,General,,,9.0 (2025) [GS]
International Conference on Theory and Applications of Cryptographic Techniques (EUROCRYPT),EUROCRYPT,2025,General,,,66.0 (2025) [GS]
EuroHaptics,EUROHAPTICS,2025,General,,,11.0 (2025) [GS]
European Conference on Pattern Languages of Programs,EuroPloP,2025,General,,,14.0 (2025) [GS]
Conference on European System & Software Process Improvement and Innovation (EuroSPI),EuroSPI,2025,General,,,17.0 (2025) [GS]
ACM European Conference on Computer Systems,EUROSYS,2025,General,,,52.0 (2025) [GS]
European Signal Processing Conference (EUSIPCO),EUSIPCO,2025,General,,,35.0 (2025) [GS]
International Conference on Financial Cryptography and Data Security,FC,2025,General,,,50.0 (2025) [GS]
Foundations of Digital Games,FDG,2025,General,,,27.0 (2025) [GS]
International Conference on Future Internet of Things and Cloud (FiCloud),FiCloud,2025,General,,,11.0 (2025) [GS]
"International Symposium On Leveraging Applications of Formal Methods, Verification and Validation",FM,2025,General,,,22.0 (2025) [GS]
International Conference on Foundations of Software Science and Computation Structures (FoSSaCS),FoSSaCS,2025,General,,,15.0 (2025) [GS]
Symposium on Field Programmable Gate Arrays (FPGA),FPGA,2025,General,,,39.0 (2025) [GS]
International Conference on Field Programmable Logic and Applications,FPL,2025,General,,,26.0 (2025) [GS]
International Conference on Formal Structures for Computation and Deduction,FSCD,2025,General,,,16.0 (2025) [GS]
International Conference on Information Fusion,FUSION,2025,General,,,23.0 (2025) [GS]
IEEE International Conference on Fuzzy Systems (FUZZ),FUZZ,2025,General,,,25.0 (2025) [GS]
Conference on Genetic and Evolutionary Computation,GECCO,2025,General,,,49.0 (2025) [GS]
Brazilian Symposium on GeoInformatics,GEOINFO,2025,General,,,4.0 (2025) [GS]
Graphics Interface Conference,GI,2025,General,,,13.0 (2025) [GS]
International Conference on Geographic Information Science,GIScience,2025,General,,,11.0 (2025) [GS]
Great Lakes Symposium on VLSI,GLSVLSI,2025,General,,,24.0 (2025) [GS]
International Conference on Computer Graphics Theory and Applications (GRAPP),GRAPP,2025,General,,,11.0 (2025) [GS]
International Conference on Health Informatics (HEALTHINF),HEALTHINF,2025,General,,,18.0 (2025) [GS]
Hawaii International Conference on System Sciences,HICSS,2025,General,,,53.0 (2025) [GS]
IEEE International Conference on High Performance Computing and Communications,HIPC,2025,General,,,19.0 (2025) [GS]
ACM Workshop on Hot Topics in Networks,HOTNETS,2025,General,,,23.0 (2025) [GS]
IEEE International Symposium on High Performance Computer Architecture,HPCA,2025,General,,,59.0 (2025) [GS]
ACM International Symposium on High Performance Distributed Computing,HPDC,2025,General,,,23.0 (2025) [GS]
ACM/IEEE International Conference on Human Robot Interaction,HRI,2025,General,,,52.0 (2025) [GS]
ACM Conference on Hypertext and Hypermedia,Hypertext,2025,General,,,21.0 (2025) [GS]
IEEE Annual Meeting Industry Applications Society,IAS,2025,General,,,28.0 (2025) [GS]
IEEE International Conference on Cloud Engineering,IC2E,2025,General,,,19.0 (2025) [GS]
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,2025,General,,,10.0 (2025) [GS]
International Conference on Algorithms and Architectures for Parallel Processing (ICA3PP),ICA3PP,2025,General,,,13.0 (2025) [GS]
International Conference on Agents and Artificial Intelligence (ICAART),ICAART,2025,General,,,24.0 (2025) [GS]
International Conference on Artificial Intelligence and Soft Computing ICAISC,ICAISC,2025,General,,,13.0 (2025) [GS]
"International Colloquium on Automata, Languages and Programming (ICALP)",ICALP,2025,General,,,29.0 (2025) [GS]
International Conference on Automated Planning and Scheduling (ICAPS),ICAPS,2025,General,,,33.0 (2025) [GS]
International Conference on Advanced Robotics and Mechatronics,ICARM,2025,General,,,14.0 (2025) [GS]
IEEE International Conference on Autonomous Robot Systems and Competitions,ICARSC,2025,General,,,19.0 (2025) [GS]
"International Conference on Control, Automation, Robotics and Vision",ICARV,2025,General,,,16.0 (2025) [GS]
"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",ICASSP,2025,General,,,137.0 (2025) [GS]
IEEE International Conference on Biometrics: Theory Applications and Systems (BTAS),ICB,2025,General,,,34.0 (2025) [GS]
IEEE International Conference on Blockchain and Cryptocurrency,ICBC,2025,General,,,32.0 (2025) [GS]
IEEE International Conference on Communications Workshops (ICC Workshops),ICC,2025,General,,,34.0 (2025) [GS]
IEEE/ACM International Conference on Computer-Aided Design (ICCAD),ICCAD,2025,General,,,46.0 (2025) [GS]
International Conference on Computational Creativity,ICCC,2025,General,,,21.0 (2025) [GS]
"IEEE International Conference on Computer Design, ICCD",ICCD,2025,General,,,23.0 (2025) [GS]
International Conference on Computers in Education,ICCE-EDU,2025,General,,,16.0 (2025) [GS]
"International Conference on Computing, Electronics & Communications Engineering",iCCECE,2025,General,,,13.0 (2025) [GS]
International Conference on Computers Helping People with Special Needs,ICCHP,2025,General,,,15.0 (2025) [GS]
International Conference on Computational Logistics,ICCL2,2025,General,,,12.0 (2025) [GS]
International Conference on Computing and Pattern Recognition,ICCPR,2025,General,,,9.0 (2025) [GS]
International Conference on Computational Science and Its Applications,ICCSA,2025,General,,,31.0 (2025) [GS]
