Conference,Acronym,Year,Topic,Papers(5Y),Citations(5Y),h5,h5_source,SBC_Class,Google_Scholar_ID,DBLP_ID
ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),PLDI,2025,General,,,51,(2025) [GS],Top10,MJmsjXA6rLIJ,pldi
ACM/IEEE International Conference on Mobile Computing and Networking,MOBICOM,2025,General,,,51,(2025) [GS],Top10,CYo1GjC2fW8J,mobicom
ACM conference on Economics and Computation,EC,2025,General,,,51,(2025) [GS],Geral,dpWPf1oNwIgJ,sigecom
International Conference on Data Mining,DMIN,2025,General,,,50.0,(2025) [GS],Geral,A0l3VPFKwDYJ,dmin
American Control Conference,ACC,2025,General,,,50,(2025) [GS],Geral,tgZe9odv5lUJ,
International Symposium on Software Testing and Analysis,ISSTA,2025,General,,,50,(2025) [GS],,,
International Conference on Financial Cryptography and Data Security,FC,2025,General,,,50,(2025) [GS],Top10,gVeDacK3aQwJ,fc
Conference on Uncertainty in Artificial Intelligence (UAI),UAI,2025,General,,,50,(2025) [GS],Top10,xLfkTVI4LkMJ,uai
ACM SIAM Symposium on Discrete Algorithms,SODA,2025,General,,,50,(2025) [GS],Top10,9lG2cY79sEoJ,soda
"International Conference for High Performance Computing, Networking, Storage and Analysis",SC,2025,General,,,50,(2025) [GS],Top10,s_dKfSWgBmwJ,sc
International Conference on Intelligent User Interfaces (IUI),IUI,2025,General,,,50,(2025) [GS],Top10,-_BzfdwqRVsJ,iui
IEEE International Conference on Data Mining,ICDM,2025,General,,,49,(2025) [GS],Top10,A0l3VPFKwDYJ,icdm
Conference on Genetic and Evolutionary Computation,GECCO,2025,General,,,49,(2025) [GS],Top10,pQVER_ii7sMJ,gecco
ACM Designing Interactive Systems,DIS,2025,General,,,49,(2025) [GS],Top10,NL3siS1OXxYJ,ACMdis
IEEE Virtual Reality Conference,VR,2025,General,,,48.0,(2025) [GS],Top10,muc8DCDEiWcJ,vr
International Conference of the IEEE Engineering in Medicine and Biology Society,EMBC,2025,General,,,48.0,(2025) [GS],Top10,la0gAKbHmIkJ,embc
IEEE Conference on Decision and Control,CDC,2025,General,,,48,(2025) [GS],Geral,1dJxuEkKfpEJ,
"International Conference on Ambient Systems, Networks and Technologies (ANT)",ANT,2025,General,,,47,(2025) [GS],,,
IEEE European Symposium on Security and Privacy,EuroS&P,2025,General,,,47,(2025) [GS],Top10,GoSvm-d8gKoJ,
European Conference on Advances in Information Retrieval,ECIR,2025,General,,,47,(2025) [GS],,,
ACM Technical Symposium on Computer Science Education,SIGCSE,2025,General,,,47.0,(2025) [GS],Top10,rrlriATuz7wJ,sigcse
"Design, Automation and Test in Europe Conference and Exhibition",DATE,2025,General,,,46.0,(2025) [GS],Top10,cP2AyDfWCcQJ,date
International Conference on The Theory and Application of Cryptology and Information Security,ASIACRYPT,2025,General,,,46,(2025) [GS],Top10,hxrvQsnJSDMJ,asiacrypt
"IEEE Vehicular Technology Conference, VTC",VTC,2025,General,,,46,(2025) [GS],Geral,Y0aL1yWCdxkJ,vtc
IEEE/ACM International Conference on Computer-Aided Design (ICCAD),ICCAD,2025,General,,,46,(2025) [GS],Top10,4CNgrChSeFwJ,iccad
IEEE International Conference on Multimedia and Expo,ICME,2025,General,,,46.0,(2025) [GS],Top10,xYXdFLRJbCMJ,icmcs
Symposium on Principles of Programming Languages,POPL,2025,General,,,45.0,(2025) [GS],Top10,6CxxSCV0pL8J,popl
European Conference on Machine Learning and Knowledge Discovery in Databases,ECML,2025,General,,,45.0,(2025) [GS],Top10,B_DfwWWmEnMJ,ecml
International Learning Analytics and Knowledge Conference,LAK,2025,General,,,45.0,(2025) [GS],Top10,vyPePYGDYIkJ,lak
European Conference on Machine Learning and Knowledge Discovery in Databases,ECML PKDD,2025,General,,,45.0,(2025) [GS],Geral,B_DfwWWmEnMJ,
International Conference on Computer Aided Verification (CAV),CAV,2025,General,,,44,(2025) [GS],Top10,qgBvh59sjMQJ,
European Conference on Artificial Intelligence (ECAI),ECAI,2025,General,,,44,(2025) [GS],Top20,ryLBm7fgHNMJ,ecai
IEEE International Conference on Automatic Face & Gesture Recognition,FG,2025,General,,,43.0,(2025) [GS],Geral,tOKomDtxujwJ,fgr
IEEE Conference on Computer Communications Workshops,INFOCOM WKSHPS,2025,General,,,43,(2025) [GS],Geral,,infocom
ACM on Internet Measurement Conference,IMC,2025,General,,,43,(2025) [GS],Top10,Yh-Vy_bHNYMJ,imc
IEEE International Conference on Blockchain,IEEE Blockchain,2025,General,,,42.0,(2025) [GS],Geral,DGN3r9u7HNQJ,blockchain2
International Society for Music Information Retrieval Conference,ISMIR,2025,General,,,42,(2025) [GS],Top10,,
IEEE International Symposium on Parallel & Distributed Processing,IPDPS,2025,General,,,41,(2025) [GS],Top10,Cge5_JoKLicJ,ipps
International Joint Conference on Natural Language Processing (IJCNLP),IJCNLP,2025,General,,,41,(2025) [GS],Top10,kYJHGA9yIBMJ,ijcnlp
International Conference on Human-Computer Interaction,HCII,2025,General,,,41,(2025) [GS],Geral,v05i1s2aH5wJ,hci
"International Conference on Distributed Computing Systems, ICDCS",ICDCS,2025,General,,,41,(2025) [GS],Top10,CiHz08Ia1nsJ,icdcs
International Conference on Measurement and Modeling of Computer Systems,SIGMETRICS,2025,General,,,40,(2025) [GS],Geral,J5PknEi03ZcJ,sigmetrics
"Annual International Conference on Mobile Systems, Applications and Services",MobiSys,2025,General,,,40,(2025) [GS],Top10,0mhk3_x__KIJ,mobisys
International Workshop on Semantic Evaluation,SEMEVAL,2025,General,,,40,(2025) [GS],Top20,nnrJuCTuhnwJ,semeval
Computer Security Applications Conference,ACSAC,2025,General,,,40,(2025) [GS],Top20,88oopSfS28MJ,acsac
IEEE International Geoscience and Remote Sensing Symposium,IGARSS,2025,General,,,40.0,(2025) [GS],Top20,D2xvUFgEEJEJ,igarss
ACM Symposium on Cloud Computing,ACMSOCC,2025,General,,,39,(2025) [GS],Geral,o1durVJyeP4J,cloud
International Conference on Communications Workshops,ICC Workshops,2025,General,,,39,(2025) [GS],Geral,,icc
European Conference on Information Systems,ECIS,2025,General,,,39,(2025) [GS],Top10,dF8xpB0_PnwJ,ecis
Symposium on Field Programmable Gate Arrays (FPGA),FPGA,2025,General,,,39,(2025) [GS],Top10,X39h_ye2QL4J,
"ACM Symposium on Information, Computer and Communications Security",ASIACCS,2025,General,,,39,(2025) [GS],Top10,3VLtGPwkq54J,asiaccs
IEEE International Symposium on Circuits and Systems,ISCAS,2025,General,,,39.0,(2025) [GS],Top10,V91jHpOGqs0J,iscas
Joint Conference on Innovation and Technology in Computer Science Education,ITICSE,2025,General,,,38,(2025) [GS],Top10,68UDAZLIQo8J,iticse
ACM Symposium on Applied Computing,SAC,2025,General,,,37,(2025) [GS],Geral,8C-rTF6UiesJ,sacrypt
International Conference on Practice and Theory in Public Key Cryptography,PKC,2025,General,,,37,(2025) [GS],Top20,6gqvYwOFvq0J,pkc
